Ticker,Year,Industry,index,Close,Open,High,Low,Volume,Month,Day,Company,Daily_range,Net_change,Percentage_change,Log_Close,Log_Daily_range,Winsorized_Close,Winsorized_Daily_range,Forecast_Close_Automotive,Forecast_Close_E-commerce,Forecast_Close_Entertainment,Forecast_Close_Finance,Forecast_Close_Healthcare,Forecast_Close_Retail,Forecast_Close_Semiconductors,Forecast_Close_Technology,Forecast_Close_Telecommunications
AAPL,2019,Technology,52,49.48,43.9,50.39,42.57,515218768,6,1,APPLE INC.,7.82,5.58,12.71070615,3.921577218,2.17702187,49.48,7.82,,,,,,,,,
AAPL,2019,Technology,53,53.26,50.79,55.34,49.6,473957121,7,1,APPLE INC.,5.74,2.47,4.86316204,3.993787307,1.908059925,53.26,5.74,,,,,,,,,
AAPL,2019,Technology,54,52.19,53.48,54.51,48.15,683515746,8,1,APPLE INC.,6.36,-1.29,-2.412116679,3.973870409,1.996059933,52.19,6.36,,,,,,,,,
AAPL,2019,Technology,55,55.99,51.61,56.61,51.06,547408488,9,1,APPLE INC.,5.55,4.38,8.486727378,4.042875814,1.87946505,55.99,5.55,,,,,,,,,
AAPL,2019,Technology,56,62.19,56.27,62.44,53.78,622360483,10,1,APPLE INC.,8.66,5.92,10.52070375,4.146146061,2.267993648,62.19,8.66,,,,,,,,,
AAPL,2019,Technology,57,66.81,62.39,67,62.29,448700327,11,1,APPLE INC.,4.71,4.42,7.084468665,4.216709677,1.742219024,66.81,4.71,,,,,,,,,
AAPL,2019,Technology,58,73.41,66.82,73.49,64.07,595460701,12,1,APPLE INC.,9.42,6.59,9.862316672,4.309590341,2.343727036,73.41,9.42,,,,,,,,,
AAPL,2020,Technology,59,77.38,74.06,81.96,73.19,725123915,1,1,APPLE INC.,8.77,3.32,4.482851742,4.361568793,2.279316466,77.38,8.77,,,,,,,,,
AAPL,2020,Technology,61,63.57,70.57,76,53.15,1567250804,3,1,APPLE INC.,22.85,-7,-9.919229134,4.167749907,3.171784217,63.57,22.85,,,,,,,,,
AAPL,2020,Technology,63,79.49,71.56,81.06,71.46,699113114,5,1,APPLE INC.,9.6,7.93,11.08160984,4.388132953,2.360854001,79.49,9.6,,,,,,,,,
